"","unique_staying_id","subject_id","latitude","longitude","study_id","location_id","staying_time_start","staying_time_end","staying_day_of_week","staying_time_of_day","staying_count_surveyor","staying_conditions","staying_microclimate","staying_temperature","staying_row_total","staying_group_size","staying_race_ethnicity","staying_gender","staying_age","standing","leaning","sitting_formal_all","sitting_formal_public","sitting_formal_public_fixed_bench","sitting_formal_public_fixed_wall_with_seats","sitting_formal_public_movable_seat","sitting_formal_commercial","sitting_formal_private","sitting_informal","lying","staying_mobility_assist","commercial_all","commercial_selling","commercial_selling_informal","commercial_buying","commercial_observing","eating_drinking","talking_to_others","smoking","cultural","recreation_active","recreation_active_play","recreation_passive_reading_writing","recreation_passive","waiting_transportation","waiting_non_public_transportation","working_civic","disruptive","disruptive_aggressive","disruptive_intoxicated","living_public","using_electronics","soliciting","staying_covid_mask","staying_covid_social_distance","taking_care_child","feeding_child","chance_encounter","other","staying_notes","location_neighborhood","S_HOOD"
"9856",15769,"7de3a4ab-5d62-45d7-9fcc-4f42c7dce1c1",47.6005848401234,-122.334389851537,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"3","","Masculine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9857",15770,"7df49b6e-d39d-4317-ad52-98d92f9d042d",47.6005601324077,-122.334389102124,"2023_Seattle_Citywide","PIO3","11/02/2023 04:23:10 PM","11/02/2023 04:43:22 PM","Weekday","Evening","UD4H","","Sun - Shaded",59,1,"1","","Feminine presenting","25-64",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Pioneer Square","Pioneer Square"
"9858",15771,"7e17f412-7fb4-4269-9c15-14154c4e88d9",47.6006070492006,-122.334402656341,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"9","","Feminine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Pioneer Square","Pioneer Square"
"9859",15772,"7e966912-8636-446e-970f-7a4716bd3fea",47.6005949255095,-122.334351076121,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"5","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Almost all groups in front  of saloon were standing in commercial seating area. Only one group of 4 were seated.","Pioneer Square","Pioneer Square"
"9860",15773,"81790274-f6fe-475b-9d7c-d5fe93c09981",47.6002462510368,-122.33439259788,"2023_Seattle_Citywide","PIO3","11/02/2023 12:25:49 PM","11/02/2023 12:47:55 PM","Weekday","Midday","UD4H","","Light Clouds",59,1,"1","","Masculine presenting","65+",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"","",NA,NA,NA,NA,"2 females in front of South of Mill should be grouped.","Pioneer Square","Pioneer Square"
"9861",15774,"82655eb8-bae3-44ba-8f14-6a088d2e81b5",47.6007656403862,-122.33438357626,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"1","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9862",15775,"82903e35-9e27-4096-8829-bfacd3941bc8",47.6005737874757,-122.334395664546,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"2","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Almost all groups in front  of saloon were standing in commercial seating area. Only one group of 4 were seated.","Pioneer Square","Pioneer Square"
"9863",15776,"8385018c-f50a-4412-ad67-8ddc5ff45d2b",47.6003088015326,-122.334343219606,"2023_Seattle_Citywide","PIO3","10/27/2023 04:20:10 PM","10/27/2023 04:41:50 PM","Weekday","Evening","UD4H","","Sun - Shaded",48,1,"2","","Masculine presenting","15-24",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Pioneer Square","Pioneer Square"
"9864",15777,"85b489f4-3957-4504-881f-4279e597e947",47.6006168194192,-122.334377719136,"2023_Seattle_Citywide","PIO3","10/29/2023 12:22:29 PM","10/29/2023 12:45:16 PM","Weekend","Midday","UD4H","Other:People walking to game.","Sun - Exposed",49,1,"3","","Masculine presenting","25-64",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Almost all groups in front  of saloon were standing in commercial seating area. Only one group of 4 were seated.","Pioneer Square","Pioneer Square"
"9865",15778,"8a94ca1f-b19b-4608-830d-efd8cc76d0c0",47.6007689329245,-122.334335409649,"2023_Seattle_Citywide","PIO3","10/29/2023 04:24:07 PM","10/29/2023 04:45:25 PM","Weekend","Evening","UD4H","Other:People returning from game.","Sun - Shaded",52,1,"3","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2 people near Washington using phones and talking should be 1 group.","Pioneer Square","Pioneer Square"
"9866",15779,"8b66e2c7-f205-443f-8a9e-4bb989d4c292",47.600530956096,-122.334378065952,"2023_Seattle_Citywide","PIO3","10/27/2023 04:20:10 PM","10/27/2023 04:41:50 PM","Weekday","Evening","UD4H","","Sun - Shaded",48,1,"1","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Pioneer Square","Pioneer Square"
"9867",15780,"8c71c2eb-b0f5-4e4b-84a6-df41c6ed6c6b",47.6005893836111,-122.33437838776,"2023_Seattle_Citywide","PIO3","11/02/2023 04:23:10 PM","11/02/2023 04:43:22 PM","Weekday","Evening","UD4H","","Sun - Shaded",59,1,"3","","Masculine presenting","25-64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Pioneer Square","Pioneer Square"
