unique_staying_id,subject_id,latitude,longitude,study_id,location_id,staying_time_start,staying_time_end,staying_day_of_week,staying_time_of_day,staying_count_surveyor,staying_conditions,staying_microclimate,staying_temperature,staying_row_total,staying_group_size,staying_race_ethnicity,staying_gender,staying_age,standing,leaning,sitting_formal_all,sitting_formal_public,sitting_formal_public_fixed_bench,sitting_formal_public_fixed_wall_with_seats,sitting_formal_public_movable_seat,sitting_formal_commercial,sitting_formal_private,sitting_informal,lying,staying_mobility_assist,commercial_all,commercial_selling,commercial_selling_informal,commercial_buying,commercial_observing,eating_drinking,talking_to_others,smoking,cultural,recreation_active,recreation_active_play,recreation_passive_reading_writing,recreation_passive,waiting_transportation,waiting_non_public_transportation,working_civic,disruptive,disruptive_aggressive,disruptive_intoxicated,living_public,using_electronics,soliciting,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,chance_encounter,other,staying_notes
13607,aa1996fe-a139-408a-a279-22ea13a121e1,47.5990522957495,-122.31453376634,2023_Seattle_Citywide,CID4,10/24/2023 05:16:12 PM,10/24/2023 05:36:52 PM,Weekday,Evening,UD4H,,Light Rain,50,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
13608,ad5bb547-14bf-4142-8385-a65ca7a841d5,47.5989945638674,-122.314637476776,2023_Seattle_Citywide,CID4,10/25/2023 10:13:21 PM,10/25/2023 10:17:24 PM,Weekday,Evening,UD4H,,Sun - Shaded,50,1,1,,Feminine presenting,25-64,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
13609,ae71e22c-f288-4db7-9c5b-01c9f2c55c0f,47.5990765621033,-122.315155706671,2023_Seattle_Citywide,CID4,10/25/2023 10:13:21 PM,10/25/2023 10:17:24 PM,Weekday,Evening,UD4H,,Sun - Shaded,50,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
13610,af9a671c-af7d-4cd0-995e-8fe0d39eca71,47.5991112840709,-122.315716309643,2023_Seattle_Citywide,CID4,10/25/2023 10:13:21 PM,10/25/2023 10:17:24 PM,Weekday,Evening,UD4H,,Sun - Shaded,50,1,4,,Feminine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
13611,b59ba62c-f923-43c6-8584-3df3f99f5dd8,47.599085916546,-122.315526633458,2023_Seattle_Citywide,CID4,10/29/2023 05:09:50 PM,10/29/2023 05:31:19 PM,Weekend,Evening,UD4H,,Sun - Shaded,50,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13612,baddf090-f62d-444c-ba67-0c6b230499cf,47.5991154141614,-122.315246303069,2023_Seattle_Citywide,CID4,10/29/2023 05:09:50 PM,10/29/2023 05:31:19 PM,Weekend,Evening,UD4H,,Sun - Shaded,50,1,3,,Feminine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
13613,c457b2ff-73c2-497f-ac3d-232b1f2afa91,47.5990773986112,-122.317100507356,2023_Seattle_Citywide,CID4,10/24/2023 05:16:12 PM,10/24/2023 05:36:52 PM,Weekday,Evening,UD4H,,Light Rain,50,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Seems high, unaware of surroundings"
13614,ca16e309-a99c-4c70-b9a6-7c0d23043692,47.5991102955867,-122.315256062657,2023_Seattle_Citywide,CID4,10/29/2023 05:09:50 PM,10/29/2023 05:31:19 PM,Weekend,Evening,UD4H,,Sun - Shaded,50,1,3,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13615,ca351f3d-13d3-419e-8686-767af8a8ad60,47.5991183191385,-122.315502213239,2023_Seattle_Citywide,CID4,10/29/2023 01:08:32 PM,10/29/2023 01:30:10 PM,Weekend,Midday,UD4H,,Sun - Shaded,52,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
13616,d0746e05-0929-4f9d-8609-6b44eeea6fe2,47.5991144343255,-122.315455063155,2023_Seattle_Citywide,CID4,10/29/2023 05:09:50 PM,10/29/2023 05:31:19 PM,Weekend,Evening,UD4H,,Sun - Shaded,50,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13617,d0fdac77-58c6-477d-8bdd-3719d9f83239,47.5990886238994,-122.314857277056,2023_Seattle_Citywide,CID4,10/24/2023 09:38:06 AM,10/24/2023 09:57:08 AM,Weekday,Morning,UD4H,,Light Clouds,48,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
13618,d46101be-1fbb-41b2-9b43-f0a691e6a10a,47.5991058611413,-122.31557335365,2023_Seattle_Citywide,CID4,10/24/2023 01:22:13 PM,10/24/2023 01:43:04 PM,Weekday,Midday,UD4H,,Heavy Clouds,51,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
13619,db0f1ca4-d177-481d-a1eb-f70d26018bca,47.5990845273191,-122.315799134282,2023_Seattle_Citywide,CID4,10/29/2023 01:08:32 PM,10/29/2023 01:30:10 PM,Weekend,Midday,UD4H,,Sun - Shaded,52,1,1,,Feminine presenting,25-64,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13620,e094d4dd-0c63-447b-a1d8-35353df394b6,47.5990981657169,-122.315937502232,2023_Seattle_Citywide,CID4,10/24/2023 01:22:13 PM,10/24/2023 01:43:04 PM,Weekday,Midday,UD4H,,Heavy Clouds,51,1,2,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
13621,e1d396e0-e89d-4c0d-93aa-ac7fb387dd63,47.5991057993008,-122.314685403694,2023_Seattle_Citywide,CID4,10/24/2023 05:16:12 PM,10/24/2023 05:36:52 PM,Weekday,Evening,UD4H,,Light Rain,50,1,1,,Feminine presenting,25-64,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
13622,e7f31694-2594-4a8f-9c88-93d0b05478a9,47.5990965859469,-122.31697201606,2023_Seattle_Citywide,CID4,10/24/2023 09:38:06 AM,10/24/2023 09:57:08 AM,Weekday,Morning,UD4H,,Light Clouds,48,1,4,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13623,ec5798e8-718a-471e-bd5e-b9a96533bbf5,47.5991100748058,-122.315447267032,2023_Seattle_Citywide,CID4,10/24/2023 01:22:13 PM,10/24/2023 01:43:04 PM,Weekday,Midday,UD4H,,Heavy Clouds,51,1,3,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
13624,f1616c57-857b-4041-89e9-76239e835645,47.5990595095178,-122.315023147994,2023_Seattle_Citywide,CID4,10/29/2023 01:08:32 PM,10/29/2023 01:30:10 PM,Weekend,Midday,UD4H,,Sun - Shaded,52,1,1,,Masculine presenting,25-64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
13625,f4fad33e-572d-43ce-93d1-e08e3af050b7,47.5990761417855,-122.317046285225,2023_Seattle_Citywide,CID4,10/25/2023 01:23:05 PM,10/25/2023 01:45:17 PM,Weekday,Midday,UD4H,,Light Clouds,50,1,1,,Masculine presenting,25-64,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
13626,f6ddf0fd-2772-4ffb-925c-e326e97b7cbd,47.5991058203269,-122.315963611141,2023_Seattle_Citywide,CID4,10/24/2023 01:22:13 PM,10/24/2023 01:43:04 PM,Weekday,Midday,UD4H,,Heavy Clouds,51,1,2,,Feminine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
13627,fc4838f8-ba2f-4580-b3a8-02ca2f8ce2e5,47.5991102955871,-122.315246303069,2023_Seattle_Citywide,CID4,10/29/2023 05:09:50 PM,10/29/2023 05:31:19 PM,Weekend,Evening,UD4H,,Sun - Shaded,50,1,3,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13628,fd5d4b3f-cbcb-433d-8513-199b64dcb2dd,47.5991016547358,-122.315408671253,2023_Seattle_Citywide,CID4,10/24/2023 01:22:13 PM,10/24/2023 01:43:04 PM,Weekday,Midday,UD4H,,Heavy Clouds,51,1,3,,Feminine presenting,25-64,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
13629,ffc0002f-9bf1-4004-a1f4-700bfd0cd929,47.5990868628698,-122.315011360662,2023_Seattle_Citywide,CID4,10/24/2023 09:38:06 AM,10/24/2023 09:57:08 AM,Weekday,Morning,UD4H,,Light Clouds,48,1,1,,Masculine presenting,25-64,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
13630,00296a5d-1572-493c-89b1-aaf6503531b2,47.6098596658067,-122.338018264682,2023_Seattle_Citywide,COM3,10/24/2023 01:25:31 PM,10/24/2023 01:36:48 PM,Weekday,Midday,UD4H,,,46,1,1,,Masculine presenting,65+,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
13631,033e0444-82ae-40bb-b935-6cdbe6cb4f8f,47.6099872696683,-122.338145121452,2023_Seattle_Citywide,COM3,10/29/2023 12:14:50 PM,10/29/2023 12:35:12 PM,Weekend,Midday,UD4H,,Sun - Shaded,49,1,1,,Masculine presenting,15-24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
